Investor_ID,Investor_Name,Age,Gender,City,PAN_Number,Investment_Type,Amount_Invested,Returns_%,Investment_Date,Financial_Advisor
B1000,Aarna Mann,62,Male,Madanapalle,RER3960W,Crypto,644765.14,16.92,16-03-2021,Alisha Badal
B1001,Madhav Karpe,29,Female,Bhilwara,UCS3948T,Mutual Funds,189908,-5.7,20-08-2017,Yasmin Cherian
B1002,Seher Chhabra,23,Male,Gwalior,TPK1087C,Bonds,643598.64,-5.83,23-10-2022,Lavanya Venkatesh
B1003,Lavanya Bawa,69,Female,Tadipatri,LIF8327V,Bonds,885919.8,-4.35,14-08-2021,Anay Seth
B1004,Hridaan Walla,39,Female,Howrah,PGO6149X,Real Estate,926964.82,17.44,04-02-2018,Adira Sheth
B1005,Zara Bassi,37,Female,Firozabad,GXD3015D,Crypto,704990.92,-9.05,19-08-2017,Adah Sharaf
B1006,Gatik Varkey,36,Male,Surat,AGS1641U,Fixed Deposit,290209.59,-12.5,10-07-2024,Aarav Butala
B1007,Pranay Joshi,30,Male,Rajpur Sonarpur,WNF3110L,Real Estate,613726.55,-6.46,10-06-2024,Romil Bhatnagar
B1008,Misha Sheth,69,Female,Sikar,CPS4378U,Real Estate,389893.37,29.35,11-07-2022,Mamooty Deshmukh
B1009,Jivika Raval,28,Male,Meerut,GRO3641N,Real Estate,256168.37,-1.5,17-03-2024,Advik Gara
B1010,Shray Mallick,65,Female,Morbi,AEL2438E,Bonds,272183.06,23.25,06-03-2024,Vidur Viswanathan
B1011,Tiya Lata,69,Male,Khandwa,KYJ5206W,Real Estate,615685.9,7.64,19-11-2023,Pari Borde
B1012,Dhruv Kunda,56,Female,Guwahati,JBZ1573V,Fixed Deposit,35364.83,7.83,17-05-2020,Nehmat Chand
B1013,Suhana Ahuja,27,Male,Kishanganj,RIO2386G,Stocks,458529.17,-12.6,22-05-2022,Umang Sharaf
B1014,Samiha Magar,59,Female,Raichur,MYY3043W,Mutual Funds,319269.74,19.59,19-04-2017,Mehul Loyal
B1015,Lakshay Chatterjee,49,Male,Chittoor,KOA9292W,Stocks,74112.33,4.44,17-10-2017,Nitya Sridhar
B1016,Gatik Kalla,24,Male,Pali,CPD5891M,Stocks,21499.1,-13.08,13-11-2021,Miraan Sankar
B1017,Madhav Ranganathan,23,Female,Jorhat,SJR6956J,Mutual Funds,565224.81,17.39,14-12-2022,Dishani Kothari
B1018,Elakshi Salvi,27,Male,Unnao,PEF9919B,Fixed Deposit,111187.58,12.23,13-07-2017,Vaibhav Vaidya
B1019,Lakshay Zacharia,35,Female,Varanasi,BMO3811H,Real Estate,150916.3,6.73,23-11-2019,Darshit Ratta
B1020,Nirvi Bhatti,36,Female,Sonipat,CIE7931K,Crypto,981414.02,28.6,07-02-2023,Tushar Saini
B1021,Aayush Bassi,54,Female,Srinagar,KLL1001S,Mutual Funds,362015.65,11.85,26-07-2019,Farhan Hegde
B1022,Rania Vaidya,60,Female,Bokaro,IQS5068J,Bonds,762448.73,-13.15,20-01-2024,Hazel Samra
B1023,Trisha Gour,23,Female,Morena,LNZ5925O,Bonds,827264.61,15.58,15-08-2024,Shray Sharaf
B1024,Biju Kapadia,57,Female,Tirupati,XCX1756B,Crypto,412564.65,-9.71,12-10-2024,Vedika Gara
B1025,Stuvan Vyas,34,Female,Bellary,MPQ9510V,Real Estate,547193.46,16.47,25-01-2024,Siya Ratta
B1026,Chirag Atwal,67,Male,Morbi,WCL5807U,Bonds,133807.12,-10.83,19-10-2020,Bhavin Gade
B1027,Shaan Sethi,63,Female,Arrah,VUG9750A,Real Estate,507507.52,22.76,13-03-2023,Nishith Sarma
B1028,Zara Vohra,66,Male,Machilipatnam,QNU8289P,Real Estate,578131.64,22,15-08-2020,Arhaan Sengupta
B1029,Tiya Solanki,56,Male,Pune,OYK3291F,Stocks,791450.71,13.31,26-12-2019,Shray Varkey
B1030,Ryan Grover,48,Female,Singrauli,YNW9035K,Mutual Funds,229782.56,29.06,22-02-2024,Samiha Kata
B1031,Seher Bhardwaj,36,Male,Rourkela,OGT6127X,Fixed Deposit,539275.86,23.95,15-01-2018,Uthkarsh Salvi
